Iteration,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,WBGene00000752,WBGene00004323,WBGene00017485,WBGene00001157,WBGene00009629,WBGene00008666,WBGene00015167,WBGene00001481,WBGene00017079,WBGene00000266,0.888636505,0.705356565
2,WBGene00003893,WBGene00004014,WBGene00010877,WBGene00013284,WBGene00012576,WBGene00001175,WBGene00011144,WBGene00008174,WBGene00016947,WBGene00016905,0.895512669,0.551130172
3,WBGene00000609,WBGene00008669,WBGene00017698,WBGene00013391,WBGene00020382,WBGene00000716,WBGene00016192,WBGene00003055,WBGene00003589,WBGene00014012,0.892507874,0.662434098
4,WBGene00022245,WBGene00016084,WBGene00008669,WBGene00019018,WBGene00013694,WBGene00007405,WBGene00009973,WBGene00003835,WBGene00017065,WBGene00022664,0.886164707,0.536495207
5,WBGene00000609,WBGene00009246,WBGene00012802,WBGene00015926,WBGene00010115,WBGene00000984,WBGene00021057,WBGene00021260,WBGene00012277,WBGene00011815,0.913524256,0.496876764
6,WBGene00000609,WBGene00011830,WBGene00023407,WBGene00020510,WBGene00001397,WBGene00016124,WBGene00019864,WBGene00009133,WBGene00015744,WBGene00185048,0.900696594,0.548921474
7,WBGene00000609,WBGene00004237,WBGene00021260,WBGene00002010,WBGene00008174,WBGene00001955,WBGene00017981,WBGene00007128,WBGene00006706,WBGene00009082,0.913225728,0.424432215
8,WBGene00022245,WBGene00007464,WBGene00019477,WBGene00007875,WBGene00003804,WBGene00016905,WBGene00017163,WBGene00019509,WBGene00021044,WBGene00016266,0.896637419,0.486886575
9,WBGene00000609,WBGene00000716,WBGene00022245,WBGene00018990,WBGene00016654,WBGene00008019,WBGene00020149,WBGene00001088,WBGene00018146,WBGene00012241,0.91411496,0.62516597
10,WBGene00003893,WBGene00001387,WBGene00017852,WBGene00003619,WBGene00011201,WBGene00020511,WBGene00010657,WBGene00021419,WBGene00021544,WBGene00003970,0.891298994,0.579542198
11,WBGene00003893,WBGene00004389,WBGene00011979,WBGene00008745,WBGene00013438,WBGene00015965,WBGene00010879,WBGene00013672,WBGene00007583,WBGene00000728,0.873673922,0.453194185
12,WBGene00022245,WBGene00007927,WBGene00008621,WBGene00004031,WBGene00022508,WBGene00005712,WBGene00020392,WBGene00022712,WBGene00013344,WBGene00006447,0.890394087,0.549529852
13,WBGene00000609,WBGene00000716,WBGene00001853,WBGene00013297,WBGene00006863,WBGene00012951,WBGene00000812,WBGene00004243,WBGene00010700,WBGene00020349,0.929614916,0.668314944
14,WBGene00001155,WBGene00002010,WBGene00015650,WBGene00021735,WBGene00019813,WBGene00000840,WBGene00020796,WBGene00007824,WBGene00001558,WBGene00017427,0.899167088,0.426386602
15,WBGene00000609,WBGene00006836,WBGene00007941,WBGene00010174,WBGene00000716,WBGene00000876,WBGene00015357,WBGene00008720,WBGene00017089,WBGene00019522,0.904190139,0.629719716
16,WBGene00000609,WBGene00001157,WBGene00014243,WBGene00011985,WBGene00019294,WBGene00000716,WBGene00013481,WBGene00013080,WBGene00008720,WBGene00015173,0.925489188,0.682617002
17,WBGene00000609,WBGene00000716,WBGene00001155,WBGene00004161,WBGene00021112,WBGene00010370,WBGene00013727,WBGene00017119,WBGene00003731,WBGene00000880,0.877737972,0.609051769
18,WBGene00000609,WBGene00001157,WBGene00000993,WBGene00013268,WBGene00004891,WBGene00019550,WBGene00003619,WBGene00002497,WBGene00016995,WBGene00013595,0.904544761,0.63961255
19,WBGene00000609,WBGene00000716,WBGene00020765,WBGene00013284,WBGene00007277,WBGene00000460,WBGene00012943,WBGene00004121,WBGene00003594,WBGene00017981,0.89994299,0.581079615
20,WBGene00000597,WBGene00001157,WBGene00017749,WBGene00000670,WBGene00001452,WBGene00015167,WBGene00021751,WBGene00017002,WBGene00003902,WBGene00007574,0.909436143,0.57920681
21,WBGene00000609,WBGene00001157,WBGene00000993,WBGene00016722,WBGene00001589,WBGene00020954,WBGene00012390,WBGene00020510,WBGene00008554,WBGene00002250,0.889830586,0.560551281
22,WBGene00000597,WBGene00008669,WBGene00000670,WBGene00013297,WBGene00000931,WBGene00015088,WBGene00003619,WBGene00017015,WBGene00002043,WBGene00008459,0.90162078,0.54075568
23,WBGene00000609,WBGene00004014,WBGene00016961,WBGene00007628,WBGene00011985,WBGene00000368,WBGene00019864,WBGene00022059,WBGene00010922,WBGene00000982,0.899841475,0.545340885
24,WBGene00003893,WBGene00019611,WBGene00001853,WBGene00004749,WBGene00015581,WBGene00020884,WBGene00013509,WBGene00021146,WBGene00009223,WBGene00017916,0.887818089,0.45960451
25,WBGene00003893,WBGene00004908,WBGene00003055,WBGene00002996,WBGene00021247,WBGene00017303,WBGene00001636,WBGene00016019,WBGene00000254,WBGene00013966,0.896590866,0.55623406
26,WBGene00000609,WBGene00000670,WBGene00017184,WBGene00015819,WBGene00003596,WBGene00006434,WBGene00001523,WBGene00021392,WBGene00010272,WBGene00003851,0.914777408,0.624810558
27,WBGene00000609,WBGene00008720,WBGene00008666,WBGene00009629,WBGene00014697,WBGene00013529,WBGene00015403,WBGene00009082,WBGene00013541,WBGene00044251,0.909420067,0.525037276
28,WBGene00000609,WBGene00000716,WBGene00020149,WBGene00003407,WBGene00000993,WBGene00003749,WBGene00013141,WBGene00012452,WBGene00010572,WBGene00012950,0.920717516,0.62368904
29,WBGene00000609,WBGene00000716,WBGene00002253,WBGene00004148,WBGene00008488,WBGene00018740,WBGene00010772,WBGene00007516,WBGene00004803,WBGene00004969,0.913522764,0.631849341
30,WBGene00003893,WBGene00011979,WBGene00017303,WBGene00009082,WBGene00019680,WBGene00019005,WBGene00022853,WBGene00000110,WBGene00018607,WBGene00001461,0.907008857,0.460134468
31,WBGene00000609,WBGene00008666,WBGene00000670,WBGene00019332,WBGene00004213,WBGene00011331,WBGene00013141,WBGene00012444,WBGene00016443,WBGene00013672,0.905504434,0.557487471
32,WBGene00000609,WBGene00000670,WBGene00017184,WBGene00000993,WBGene00002129,WBGene00043060,WBGene00009713,WBGene00012951,WBGene00018259,WBGene00015098,0.924849851,0.5464403
33,WBGene00003893,WBGene00000670,WBGene00019611,WBGene00022200,WBGene00017119,WBGene00043060,WBGene00011805,WBGene00011398,WBGene00021826,WBGene00011636,0.908112368,0.554449745
34,WBGene00000609,WBGene00000716,WBGene00000768,WBGene00013284,WBGene00013549,WBGene00013792,WBGene00015650,WBGene00006603,WBGene00007976,WBGene00018702,0.891650157,0.587140127
35,WBGene00000609,WBGene00000716,WBGene00020149,WBGene00000993,WBGene00004237,WBGene00012476,WBGene00043060,WBGene00006575,WBGene00009456,WBGene00008139,0.920805947,0.592813033
36,WBGene00000752,WBGene00017119,WBGene00019460,WBGene00009013,WBGene00001169,WBGene00021319,WBGene00008951,WBGene00020498,WBGene00004312,WBGene00011688,0.913035304,0.46624534
37,WBGene00004014,WBGene00019611,WBGene00000671,WBGene00004807,WBGene00013227,WBGene00009621,WBGene00001976,WBGene00302978,WBGene00006220,WBGene00044762,0.914622408,0.567970089
38,WBGene00001155,WBGene00007927,WBGene00044493,WBGene00013593,WBGene00021395,WBGene00000498,WBGene00001196,WBGene00013599,WBGene00000609,WBGene00012059,0.890445958,0.527275468
39,WBGene00000609,WBGene00004243,WBGene00000716,WBGene00004014,WBGene00013247,WBGene00013694,WBGene00008062,WBGene00019611,WBGene00000870,WBGene00022246,0.929414506,0.639220186
40,WBGene00001155,WBGene00017852,WBGene00018682,WBGene00004056,WBGene00000175,WBGene00021247,WBGene00015850,WBGene00017005,WBGene00006430,WBGene00011272,0.894343243,0.59008701
41,WBGene00003893,WBGene00022854,WBGene00004248,WBGene00007991,WBGene00007923,WBGene00013006,WBGene00021155,WBGene00017426,WBGene00009165,WBGene00015357,0.894384467,0.471016493
42,WBGene00003893,WBGene00000670,WBGene00000993,WBGene00021247,WBGene00017282,WBGene00000040,WBGene00003596,WBGene00008082,WBGene00023419,WBGene00021564,0.908431392,0.457567186
43,WBGene00022245,WBGene00007780,WBGene00018595,WBGene00009082,WBGene00018892,WBGene00015167,WBGene00000281,WBGene00010638,WBGene00019328,WBGene00020915,0.909844107,0.487772387
44,WBGene00000609,WBGene00000984,WBGene00016722,WBGene00044355,WBGene00019611,WBGene00006769,WBGene00302976,WBGene00022051,WBGene00017119,WBGene00009745,0.927927823,0.513560327
45,WBGene00000609,WBGene00019373,WBGene00000670,WBGene00011830,WBGene00003619,WBGene00000866,WBGene00003374,WBGene00000963,WBGene00020827,WBGene00020090,0.893409677,0.607259044
46,WBGene00003893,WBGene00008669,WBGene00022382,WBGene00020102,WBGene00021559,WBGene00001563,WBGene00002044,WBGene00016714,WBGene00019770,WBGene00019757,0.906479525,0.544619926
47,WBGene00003893,WBGene00002996,WBGene00018593,WBGene00011688,WBGene00003967,WBGene00013947,WBGene00000118,WBGene00012854,WBGene00001510,WBGene00015418,0.89599254,0.449805407
48,WBGene00000609,WBGene00000670,WBGene00022683,WBGene00001853,WBGene00007507,WBGene00007824,WBGene00007508,WBGene00000715,WBGene00007114,WBGene00020047,0.86562908,0.639359549
49,WBGene00003893,WBGene00013958,WBGene00008107,WBGene00013671,WBGene00018974,WBGene00045407,WBGene00006473,WBGene00022045,WBGene00007913,WBGene00019540,0.891211863,0.570719386
50,WBGene00000609,WBGene00000670,WBGene00019813,WBGene00017184,WBGene00013599,WBGene00000113,WBGene00019487,WBGene00006440,WBGene00000147,WBGene00007808,0.92811671,0.514182677
51,WBGene00000609,WBGene00000716,WBGene00004875,WBGene00017065,WBGene00004498,WBGene00013111,WBGene00013378,WBGene00018013,WBGene00010606,WBGene00017089,0.927352119,0.476474777
52,WBGene00022245,WBGene00000670,WBGene00003902,WBGene00004056,WBGene00019611,WBGene00020549,WBGene00010001,WBGene00001527,WBGene00001844,WBGene00012900,0.926146194,0.579084396
53,WBGene00022245,WBGene00000670,WBGene00000170,WBGene00019611,WBGene00010496,WBGene00003589,WBGene00001161,WBGene00043060,WBGene00004333,WBGene00009488,0.90781362,0.679374024
54,WBGene00003893,WBGene00004014,WBGene00022474,WBGene00000236,WBGene00001559,WBGene00000670,WBGene00012983,WBGene00003055,WBGene00008720,WBGene00006923,0.900296463,0.583073212
55,WBGene00000673,WBGene00018037,WBGene00017749,WBGene00021247,WBGene00021368,WBGene00010418,WBGene00004243,WBGene00011283,WBGene00004429,WBGene00019466,0.886338209,0.483644423
56,WBGene00001911,WBGene00008688,WBGene00007941,WBGene00000715,WBGene00003589,WBGene00022508,WBGene00008488,WBGene00013348,WBGene00018853,WBGene00008441,0.890026876,0.451335466
57,WBGene00000609,WBGene00001157,WBGene00000670,WBGene00003589,WBGene00006477,WBGene00010066,WBGene00007628,WBGene00014697,WBGene00007296,WBGene00015025,0.901693119,0.618592115
58,WBGene00000609,WBGene00000984,WBGene00004014,WBGene00001511,WBGene00012900,WBGene00018607,WBGene00000716,WBGene00021146,WBGene00022306,WBGene00011718,0.888918525,0.675183992
59,WBGene00003371,WBGene00004014,WBGene00019611,WBGene00020710,WBGene00003407,WBGene00003902,WBGene00018302,WBGene00010066,WBGene00003621,WBGene00009736,0.89832903,0.664766614
60,WBGene00001155,WBGene00017852,WBGene00000880,WBGene00022475,WBGene00011198,WBGene00007533,WBGene00014098,WBGene00044233,WBGene00002129,WBGene00015451,0.912595542,0.532559888
61,WBGene00000597,WBGene00000670,WBGene00002268,WBGene00003619,WBGene00019877,WBGene00019061,WBGene00010066,WBGene00019164,WBGene00005444,WBGene00004831,0.887481115,0.557125029
62,WBGene00000609,WBGene00000670,WBGene00001511,WBGene00000092,WBGene00009469,WBGene00001452,WBGene00000815,WBGene00018488,WBGene00011804,WBGene00007107,0.900697794,0.533973103
63,WBGene00001155,WBGene00044324,WBGene00015650,WBGene00010990,WBGene00022474,WBGene00012900,WBGene00015780,WBGene00008832,WBGene00001636,WBGene00000170,0.867223987,0.568653336
64,WBGene00000673,WBGene00000670,WBGene00022245,WBGene00011319,WBGene00009082,WBGene00001334,WBGene00003589,WBGene00022460,WBGene00016965,WBGene00021269,0.906152255,0.561662377
65,WBGene00003893,WBGene00021628,WBGene00020510,WBGene00001559,WBGene00022856,WBGene00015780,WBGene00003754,WBGene00004924,WBGene00008229,WBGene00007516,0.901767005,0.485579537
66,WBGene00000609,WBGene00013532,WBGene00020625,WBGene00002007,WBGene00016210,WBGene00014019,WBGene00017829,WBGene00008370,WBGene00020510,WBGene00016905,0.899596145,0.519450475
67,WBGene00003893,WBGene00022854,WBGene00000502,WBGene00019487,WBGene00017119,WBGene00019268,WBGene00000262,WBGene00044609,WBGene00015456,WBGene00017640,0.895080076,0.572829699
68,WBGene00000752,WBGene00007766,WBGene00000670,WBGene00013481,WBGene00008666,WBGene00019332,WBGene00018145,WBGene00020389,WBGene00003482,WBGene00022014,0.908024844,0.55101784
69,WBGene00000609,WBGene00000670,WBGene00016210,WBGene00017852,WBGene00018249,WBGene00019427,WBGene00018991,WBGene00022134,WBGene00010436,WBGene00019061,0.927160195,0.486290962
70,WBGene00003893,WBGene00004014,WBGene00007403,WBGene00016074,WBGene00010066,WBGene00013247,WBGene00018635,WBGene00022072,WBGene00014253,WBGene00045265,0.906297155,0.507454578
71,WBGene00022245,WBGene00017904,WBGene00017344,WBGene00012487,WBGene00009233,WBGene00000993,WBGene00016642,WBGene00022508,WBGene00009082,WBGene00019305,0.874852767,0.575885738
72,WBGene00003893,WBGene00019611,WBGene00020104,WBGene00044493,WBGene00020950,WBGene00004056,WBGene00015541,WBGene00007649,WBGene00001833,WBGene00007059,0.911909842,0.518384596
73,WBGene00000609,WBGene00001157,WBGene00043060,WBGene00007780,WBGene00000444,WBGene00012951,WBGene00016905,WBGene00020901,WBGene00016291,WBGene00012997,0.8989307,0.56890356
74,WBGene00003893,WBGene00019611,WBGene00002253,WBGene00008435,WBGene00003596,WBGene00021522,WBGene00006583,WBGene00021785,WBGene00019993,WBGene00015451,0.909219103,0.551304036
75,WBGene00000609,WBGene00017698,WBGene00000716,WBGene00013481,WBGene00022499,WBGene00043060,WBGene00017751,WBGene00000673,WBGene00022280,WBGene00016745,0.885073917,0.683761196
76,WBGene00000609,WBGene00000670,WBGene00011985,WBGene00007934,WBGene00001511,WBGene00008402,WBGene00000715,WBGene00009165,WBGene00009082,WBGene00018594,0.903248033,0.599135149
77,WBGene00000609,WBGene00000670,WBGene00007913,WBGene00001559,WBGene00012359,WBGene00013141,WBGene00007649,WBGene00008666,WBGene00009654,WBGene00022508,0.87299555,0.652181506
78,WBGene00003893,WBGene00000670,WBGene00000609,WBGene00004243,WBGene00009158,WBGene00003589,WBGene00010793,WBGene00014243,WBGene00000113,WBGene00017065,0.901452775,0.667853451
79,WBGene00011753,WBGene00003589,WBGene00009246,WBGene00021863,WBGene00007091,WBGene00021820,WBGene00020082,WBGene00010922,WBGene00003038,WBGene00007846,0.897993726,0.46922591
80,WBGene00001155,WBGene00017852,WBGene00014697,WBGene00007504,WBGene00001262,WBGene00015899,WBGene00022499,WBGene00045291,WBGene00021626,WBGene00013432,0.894777283,0.508249977
81,WBGene00022245,WBGene00011995,WBGene00003902,WBGene00019813,WBGene00017321,WBGene00022233,WBGene00021909,WBGene00023422,WBGene00019487,WBGene00017077,0.902004356,0.579743261
82,WBGene00003893,WBGene00017717,WBGene00009051,WBGene00000216,WBGene00017127,WBGene00012802,WBGene00000993,WBGene00302964,WBGene00008578,WBGene00020950,0.932846238,0.484317361
83,WBGene00000609,WBGene00000670,WBGene00002497,WBGene00006602,WBGene00021327,WBGene00019813,WBGene00012317,WBGene00003410,WBGene00009218,WBGene00011392,0.881755595,0.619233053
84,WBGene00000597,WBGene00004014,WBGene00013694,WBGene00009013,WBGene00022131,WBGene00000147,WBGene00019365,WBGene00009106,WBGene00001178,WBGene00012897,0.928245594,0.525186786
85,WBGene00003893,WBGene00017852,WBGene00020510,WBGene00018718,WBGene00018405,WBGene00003959,WBGene00019877,WBGene00018657,WBGene00007917,WBGene00015580,0.881858093,0.540193405
86,WBGene00003893,WBGene00008720,WBGene00000175,WBGene00013339,WBGene00012700,WBGene00019245,WBGene00006594,WBGene00018718,WBGene00012900,WBGene00003619,0.885743159,0.534105488
87,WBGene00003893,WBGene00004014,WBGene00019611,WBGene00022056,WBGene00015251,WBGene00016816,WBGene00022508,WBGene00004305,WBGene00015200,WBGene00016452,0.905442184,0.505457494
88,WBGene00000673,WBGene00008621,WBGene00022152,WBGene00008720,WBGene00021556,WBGene00001225,WBGene00013111,WBGene00019946,WBGene00021260,WBGene00020143,0.887041036,0.423780237
89,WBGene00000609,WBGene00019477,WBGene00011527,WBGene00012085,WBGene00021863,WBGene00003851,WBGene00019005,WBGene00000993,WBGene00001836,WBGene00010713,0.908199798,0.554595968
90,WBGene00000609,WBGene00006307,WBGene00001225,WBGene00016103,WBGene00003619,WBGene00013694,WBGene00001564,WBGene00012428,WBGene00021607,WBGene00013339,0.91242537,0.559265869
91,WBGene00022245,WBGene00003902,WBGene00004143,WBGene00006498,WBGene00015203,WBGene00022508,WBGene00016458,WBGene00018403,WBGene00016667,WBGene00044527,0.887509828,0.603908611
92,WBGene00000609,WBGene00001157,WBGene00011095,WBGene00000670,WBGene00011804,WBGene00010541,WBGene00022185,WBGene00022666,WBGene00013875,WBGene00021733,0.883781437,0.599960669
93,WBGene00000609,WBGene00000670,WBGene00006066,WBGene00020601,WBGene00012444,WBGene00001564,WBGene00012487,WBGene00000764,WBGene00013862,WBGene00002048,0.915271167,0.539927824
94,WBGene00003893,WBGene00017852,WBGene00013026,WBGene00000984,WBGene00000752,WBGene00017671,WBGene00000670,WBGene00008666,WBGene00019487,WBGene00043060,0.843619588,0.576103819
95,WBGene00000609,WBGene00020710,WBGene00009246,WBGene00019611,WBGene00005020,WBGene00016210,WBGene00013694,WBGene00019030,WBGene00014028,WBGene00021636,0.911926685,0.491547373
96,WBGene00004243,WBGene00004014,WBGene00016485,WBGene00021443,WBGene00016084,WBGene00003407,WBGene00020511,WBGene00006405,WBGene00007128,WBGene00185001,0.902182918,0.533410687
97,WBGene00000597,WBGene00001157,WBGene00021036,WBGene00007616,WBGene00020530,WBGene00000670,WBGene00000993,WBGene00012890,WBGene00004196,WBGene00013181,0.901416275,0.602045679
98,WBGene00022245,WBGene00003902,WBGene00009508,WBGene00002268,WBGene00019365,WBGene00020389,WBGene00016383,WBGene00017089,WBGene00002278,WBGene00010922,0.913136395,0.552490853
99,WBGene00003893,WBGene00000670,WBGene00000713,WBGene00008720,WBGene00010066,WBGene00009443,WBGene00012487,WBGene00020273,WBGene00008927,WBGene00016500,0.926589673,0.609487611
100,WBGene00000609,WBGene00016194,WBGene00002980,WBGene00001397,WBGene00015200,WBGene00020466,WBGene00006785,WBGene00004119,WBGene00001636,WBGene00004333,0.914612971,0.477954069
101,WBGene00000609,WBGene00000716,WBGene00003931,WBGene00013869,WBGene00015301,WBGene00011066,WBGene00011350,WBGene00009629,WBGene00016965,WBGene00017342,0.91845297,0.586271467
102,WBGene00000597,WBGene00004090,WBGene00007941,WBGene00002253,WBGene00017124,WBGene00000993,WBGene00017892,WBGene00019126,WBGene00003980,WBGene00194852,0.883720879,0.588914539
103,WBGene00000597,WBGene00017698,WBGene00015819,WBGene00000716,WBGene00013284,WBGene00000959,WBGene00003619,WBGene00016289,WBGene00011047,WBGene00001564,0.907028587,0.584472998
104,WBGene00003893,WBGene00017852,WBGene00006066,WBGene00019599,WBGene00021443,WBGene00013668,WBGene00015485,WBGene00019877,WBGene00006498,WBGene00022280,0.910973829,0.442132616
105,WBGene00000609,WBGene00000716,WBGene00004243,WBGene00019162,WBGene00003169,WBGene00020797,WBGene00010732,WBGene00004148,WBGene00022554,WBGene00004109,0.90864325,0.59368484
106,WBGene00000609,WBGene00000670,WBGene00001591,WBGene00000388,WBGene00020895,WBGene00017892,WBGene00000403,WBGene00017782,WBGene00003254,WBGene00003412,0.922212639,0.50390982
107,WBGene00003893,WBGene00017852,WBGene00015167,WBGene00001602,WBGene00008197,WBGene00018967,WBGene00013584,WBGene00021294,WBGene00011116,WBGene00020771,0.891547232,0.524713165
108,WBGene00001155,WBGene00009246,WBGene00011924,WBGene00015185,WBGene00012395,WBGene00007507,WBGene00011059,WBGene00012221,WBGene00018740,WBGene00013151,0.91267363,0.361361383
109,WBGene00003893,WBGene00009082,WBGene00009745,WBGene00017852,WBGene00021247,WBGene00021546,WBGene00017726,WBGene00003047,WBGene00006735,WBGene00020443,0.892826013,0.516895402
110,WBGene00003893,WBGene00016073,WBGene00017358,WBGene00000175,WBGene00010185,WBGene00005444,WBGene00003093,WBGene00022022,WBGene00022188,WBGene00020903,0.901724303,0.553146535
111,WBGene00000597,WBGene00004014,WBGene00014152,WBGene00044251,WBGene00015025,WBGene00000963,WBGene00000670,WBGene00007428,WBGene00011985,WBGene00018964,0.912553989,0.530712727
112,WBGene00022245,WBGene00006863,WBGene00008027,WBGene00000993,WBGene00021661,WBGene00003978,WBGene00011502,WBGene00019656,WBGene00019697,WBGene00013225,0.885175801,0.554289824
113,WBGene00022245,WBGene00003902,WBGene00002129,WBGene00018342,WBGene00000993,WBGene00017733,WBGene00016939,WBGene00020006,WBGene00011010,WBGene00001749,0.908879573,0.558204553
114,WBGene00000609,WBGene00008621,WBGene00007941,WBGene00018611,WBGene00018376,WBGene00019030,WBGene00022852,WBGene00022259,WBGene00007194,WBGene00019018,0.885565894,0.508198008
115,WBGene00000609,WBGene00000670,WBGene00001397,WBGene00009531,WBGene00044355,WBGene00008587,WBGene00000443,WBGene00000715,WBGene00017427,WBGene00007549,0.902445776,0.578136332
116,WBGene00022245,WBGene00007927,WBGene00003589,WBGene00013599,WBGene00001602,WBGene00010066,WBGene00011995,WBGene00022233,WBGene00016767,WBGene00015403,0.91172148,0.54822174
117,WBGene00001155,WBGene00007193,WBGene00002010,WBGene00013323,WBGene00008081,WBGene00009172,WBGene00021765,WBGene00000993,WBGene00017532,WBGene00007824,0.887792734,0.450959236
118,WBGene00004014,WBGene00016485,WBGene00013694,WBGene00014139,WBGene00022499,WBGene00019611,WBGene00012634,WBGene00015232,WBGene00007193,WBGene00011415,0.902630176,0.541486088
119,WBGene00001155,WBGene00000670,WBGene00016391,WBGene00000774,WBGene00003185,WBGene00022508,WBGene00007237,WBGene00017427,WBGene00013334,WBGene00014001,0.890622237,0.420015431
120,WBGene00000609,WBGene00007055,WBGene00000670,WBGene00008720,WBGene00015692,WBGene00014697,WBGene00018615,WBGene00021282,WBGene00012347,WBGene00043060,0.898598584,0.599221888
121,WBGene00000609,WBGene00000670,WBGene00000715,WBGene00001193,WBGene00004323,WBGene00000092,WBGene00001816,WBGene00020102,WBGene00023451,WBGene00000964,0.914748643,0.590858845
122,WBGene00022245,WBGene00021469,WBGene00008197,WBGene00009082,WBGene00000959,WBGene00000075,WBGene00021387,WBGene00002915,WBGene00044072,WBGene00009823,0.903705321,0.576263134
123,WBGene00000609,WBGene00000670,WBGene00021469,WBGene00000793,WBGene00007507,WBGene00015057,WBGene00005648,WBGene00006830,WBGene00015095,WBGene00010850,0.938041898,0.509347748
124,WBGene00000609,WBGene00004243,WBGene00000670,WBGene00020710,WBGene00019332,WBGene00008720,WBGene00018488,WBGene00019780,WBGene00000876,WBGene00004908,0.915787463,0.592747801
125,WBGene00003893,WBGene00022854,WBGene00000670,WBGene00000609,WBGene00001853,WBGene00017659,WBGene00012205,WBGene00016524,WBGene00014697,WBGene00006648,0.893250583,0.596874237
